"DATE","TZ","TEMP"
2014-09-20 19:00:00,"Etc/GMT-7",9.669
2014-09-20 21:00:00,"Etc/GMT-7",9.669
2014-09-20 23:00:00,"Etc/GMT-7",9.669
2014-09-21 01:00:00,"Etc/GMT-7",9.571
2014-09-21 03:00:00,"Etc/GMT-7",9.571
2014-09-21 05:00:00,"Etc/GMT-7",9.472
2014-09-21 07:00:00,"Etc/GMT-7",9.472
2014-09-21 09:00:00,"Etc/GMT-7",9.472
2014-09-21 11:00:00,"Etc/GMT-7",9.571
2014-09-21 13:00:00,"Etc/GMT-7",10.063
2014-09-21 15:00:00,"Etc/GMT-7",10.161
2014-09-21 17:00:00,"Etc/GMT-7",10.259
2014-09-21 19:00:00,"Etc/GMT-7",10.161
2014-09-21 21:00:00,"Etc/GMT-7",10.161
2014-09-21 23:00:00,"Etc/GMT-7",10.063
2014-09-22 01:00:00,"Etc/GMT-7",9.965
2014-09-22 03:00:00,"Etc/GMT-7",9.965
2014-09-22 05:00:00,"Etc/GMT-7",9.965
2014-09-22 07:00:00,"Etc/GMT-7",9.866
2014-09-22 09:00:00,"Etc/GMT-7",9.866
2014-09-22 11:00:00,"Etc/GMT-7",9.965
2014-09-22 13:00:00,"Etc/GMT-7",10.063
2014-09-22 15:00:00,"Etc/GMT-7",10.161
2014-09-22 17:00:00,"Etc/GMT-7",10.161
2014-09-22 19:00:00,"Etc/GMT-7",10.161
2014-09-22 21:00:00,"Etc/GMT-7",10.063
2014-09-22 23:00:00,"Etc/GMT-7",9.965
2014-09-23 01:00:00,"Etc/GMT-7",9.866
2014-09-23 03:00:00,"Etc/GMT-7",9.866
2014-09-23 05:00:00,"Etc/GMT-7",9.768
2014-09-23 07:00:00,"Etc/GMT-7",9.669
2014-09-23 09:00:00,"Etc/GMT-7",9.669
2014-09-23 11:00:00,"Etc/GMT-7",9.768
2014-09-23 13:00:00,"Etc/GMT-7",9.866
2014-09-23 15:00:00,"Etc/GMT-7",9.965
2014-09-23 17:00:00,"Etc/GMT-7",9.965
2014-09-23 19:00:00,"Etc/GMT-7",9.965
2014-09-23 21:00:00,"Etc/GMT-7",9.965
2014-09-23 23:00:00,"Etc/GMT-7",10.063
2014-09-24 01:00:00,"Etc/GMT-7",10.161
2014-09-24 03:00:00,"Etc/GMT-7",10.259
2014-09-24 05:00:00,"Etc/GMT-7",10.161
2014-09-24 07:00:00,"Etc/GMT-7",10.063
2014-09-24 09:00:00,"Etc/GMT-7",9.965
2014-09-24 11:00:00,"Etc/GMT-7",9.866
2014-09-24 13:00:00,"Etc/GMT-7",9.866
2014-09-24 15:00:00,"Etc/GMT-7",9.866
