"DATE","AM16-STR-S1","AM16-STR-S2","AM16-STR-S3","AV14-STR-S1","AV14-STR-S2","AV14-STR-S3"
2014-09-01,NA,NA,NA,NA,NA,NA
2014-09-02,NA,NA,NA,NA,NA,NA
2014-09-03,NA,NA,NA,NA,NA,NA
2014-09-04,NA,NA,NA,NA,NA,NA
2014-09-05,NA,NA,NA,NA,NA,NA
2014-09-06,NA,NA,NA,NA,NA,NA
2014-09-07,NA,NA,NA,NA,NA,NA
2014-09-08,NA,NA,NA,NA,NA,NA
2014-09-09,NA,NA,NA,NA,NA,NA
2014-09-10,NA,NA,NA,NA,NA,NA
2014-09-11,NA,NA,NA,NA,NA,NA
2014-09-12,12.8829999999999,9.768,10.944,NA,NA,NA
2014-09-13,13.4231395875133,10.455,11.819,NA,NA,NA
2014-09-14,14.1025652181384,10.944,12.304,NA,NA,NA
2014-09-15,14.517,11.6930794952414,12.787,NA,NA,NA
2014-09-16,14.0654792060858,12.11,13.269,NA,NA,NA
2014-09-17,14.0665486641343,12.401,13.0020370676907,NA,NA,NA
2014-09-18,12.304,11.3889494410321,11.819,NA,NA,NA
2014-09-19,12.5080415118467,11.528,12.3064302058464,NA,NA,NA
2014-09-20,14.2177937607067,12.207,12.883,9.68126295363605,11.139,15.187
2014-09-21,15.473,12.883,13.846,10.259,10.748,10.6749405252996
2014-09-22,13.6553946705185,12.1901468902154,12.6530524776749,10.1668512686879,10.3822986888756,10.4088033825087
2014-09-23,11.1701907210807,10.8765149385989,11.0685030713266,10.063,10.1857570304045,10.176072497086
2014-09-24,10.846,10.748,10.846,10.259,10.4604216504731,10.455
2014-09-25,11.4354401218842,10.3085192468543,10.846,9.60805567331632,9.62076993805832,9.71814095283229
2014-09-26,10.259,9.866,9.669,8.9854174466996,9.287868094296,9.19562587680316
2014-09-27,11.161517599313,10.2208946137504,11.041,8.89011299712393,9.1846518943584,9.08686659562635
2014-09-28,11.717619607749,10.2652886407389,10.748,8.64111569298639,9.0902582230963,9.077
2014-09-29,10.0798502980314,9.59359741674909,9.88530314577475,8.68,9.176,9.077
2014-09-30,9.472,8.581,8.69375272245331,8.16300679197126,8.51488484803376,8.57186750030564
2014-10-01,8.879,8.481,8.49316415679908,7.58398887930874,7.80605158208993,7.9003473115629
2014-10-02,9.472,8.39919522564928,8.481,7.08477824701468,7.60347281207484,7.5305855195525
2014-10-03,10.553,9.077,9.19969304354293,7.48969943148165,8.4898384141678,8.29653864134349
2014-10-04,11.7780683508691,10.3066189345577,10.7222499818464,8.19069472408341,9.20441258240216,9.077
2014-10-05,12.304,10.4656876324548,10.651,8.48897651195659,9.373,9.38906989380479
2014-10-06,12.4649866074757,10.651,10.846,8.88757318937258,9.669,9.768
2014-10-07,12.287473440989,10.748,10.846,9.09525449191415,9.768,9.77720184671251
2014-10-08,11.625,10.455,10.7646217418698,8.978,9.63461061183519,9.73202374345787
2014-10-09,10.651,9.472,9.472,8.282,8.9863133225921,8.99166472482841
2014-10-10,10.259,9.472,9.768,8.29064926637754,9.11755315425552,8.99174918563252
2014-10-11,9.0390550408052,8.99632900235999,9.04723306666321,8.282,8.78317901137294,8.78668537515605
2014-10-12,9.43180074363209,8.781084070158,9.85253707696384,7.79996057724714,8.19802563120514,8.19064376111247
2014-10-13,9.768,8.69143963236696,9.3094562806404,8.182,8.978,8.879
2014-10-14,9.373,8.68,9.571,8.18274154285688,8.94442084699273,8.89796250313146
2014-10-15,7.82879543306238,7.82675675577238,8.182,7.64003277509296,7.9330524791459,8.03062162352088
2014-10-16,7.682,7.52433497918979,8.382,6.674,7.19222498100394,7.29248422776809
2014-10-17,7.69026227489737,7.80526437228998,7.99016654705139,7.481,8.31296480364018,8.382
2014-10-18,10.1428747586229,8.382,8.48673568763036,7.79047102204371,8.69639379490752,8.58698713325901
