"DATE","AM16-STR-S1","AM16-STR-S2","AM16-STR-S3","AV14-STR-S1","AV14-STR-S2","AV14-STR-S3"
2014-09-01,NA,NA,NA,NA,NA,NA
2014-09-02,NA,NA,NA,NA,NA,NA
2014-09-03,NA,NA,NA,NA,NA,NA
2014-09-04,NA,NA,NA,NA,NA,NA
2014-09-05,NA,NA,NA,NA,NA,NA
2014-09-06,NA,NA,NA,NA,NA,NA
2014-09-07,NA,NA,NA,NA,NA,NA
2014-09-08,NA,NA,NA,NA,NA,NA
2014-09-09,NA,NA,NA,NA,NA,NA
2014-09-10,NA,NA,NA,NA,NA,NA
2014-09-11,NA,NA,NA,NA,NA,NA
2014-09-12,FALSE,FALSE,FALSE,NA,NA,NA
2014-09-13,FALSE,FALSE,FALSE,NA,NA,NA
2014-09-14,FALSE,FALSE,FALSE,NA,NA,NA
2014-09-15,FALSE,FALSE,FALSE,NA,NA,NA
2014-09-16,FALSE,FALSE,FALSE,NA,NA,NA
2014-09-17,FALSE,FALSE,FALSE,NA,NA,NA
2014-09-18,FALSE,FALSE,FALSE,NA,NA,NA
2014-09-19,FALSE,FALSE,FALSE,NA,NA,NA
2014-09-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-09-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-09-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-09-23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-09-24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-09-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-09-26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-09-27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-09-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-09-29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-09-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014-10-24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
