"YEAR","MONTH","DAY","HOUR","MIN","TEMP"
2014,9,20,17,0,11.139
2014,9,20,19,0,10.161
2014,9,20,21,0,9.965
2014,9,20,23,0,9.866
2014,9,21,1,0,9.768
2014,9,21,3,0,9.669
2014,9,21,5,0,9.571
2014,9,21,7,0,9.571
2014,9,21,9,0,9.571
2014,9,21,11,0,9.866
2014,9,21,13,0,10.161
2014,9,21,15,0,10.553
2014,9,21,17,0,10.748
2014,9,21,19,0,10.651
2014,9,21,21,0,10.553
2014,9,21,23,0,10.357
2014,9,22,1,0,10.259
2014,9,22,3,0,10.161
2014,9,22,5,0,10.063
2014,9,22,7,0,9.965
2014,9,22,9,0,9.965
2014,9,22,11,0,10.063
2014,9,22,13,0,10.161
2014,9,22,15,0,10.357
2014,9,22,17,0,10.357
2014,9,22,19,0,10.259
2014,9,22,21,0,10.161
2014,9,22,23,0,10.063
2014,9,23,1,0,9.866
2014,9,23,3,0,9.768
2014,9,23,5,0,9.669
2014,9,23,7,0,9.571
2014,9,23,9,0,9.669
2014,9,23,11,0,9.768
2014,9,23,13,0,9.965
2014,9,23,15,0,10.161
2014,9,23,17,0,10.161
2014,9,23,19,0,10.063
2014,9,23,21,0,10.063
2014,9,23,23,0,10.063
2014,9,24,1,0,10.161
2014,9,24,3,0,10.455
2014,9,24,5,0,10.357
2014,9,24,7,0,10.063
2014,9,24,9,0,9.965
2014,9,24,11,0,9.866
2014,9,24,13,0,9.866
2014,9,24,15,0,9.965
2014,9,24,17,0,9.965
2014,9,24,19,0,9.965
2014,9,24,21,0,9.768
2014,9,24,23,0,9.669
2014,9,25,1,0,9.571
2014,9,25,3,0,9.472
2014,9,25,5,0,9.275
2014,9,25,7,0,9.176
2014,9,25,9,0,9.176
2014,9,25,11,0,9.176
2014,9,25,13,0,9.275
2014,9,25,15,0,9.472
2014,9,25,17,0,9.571
2014,9,25,19,0,9.373
2014,9,25,21,0,9.176
2014,9,25,23,0,8.978
2014,9,26,1,0,8.879
2014,9,26,3,0,8.779
2014,9,26,5,0,8.779
2014,9,26,7,0,8.581
2014,9,26,9,0,8.581
2014,9,26,11,0,8.779
2014,9,26,13,0,8.978
2014,9,26,15,0,9.176
2014,9,26,17,0,9.275
2014,9,26,19,0,9.275
2014,9,26,21,0,9.176
2014,9,26,23,0,9.077
2014,9,27,1,0,9.077
2014,9,27,3,0,8.978
2014,9,27,5,0,8.779
2014,9,27,7,0,8.581
2014,9,27,9,0,8.481
2014,9,27,11,0,8.581
2014,9,27,13,0,8.978
