"YEAR","MONTH","DAY","HOUR","MIN","TEMP"
2014,9,11,22,40,9.574
2014,9,12,0,40,10.076
2014,9,12,2,40,9.574
2014,9,12,4,40,9.574
2014,9,12,6,40,9.574
2014,9,12,8,40,8.07
2014,9,12,10,40,11.58
2014,9,12,12,40,17.592
2014,9,12,14,40,20.095
2014,9,12,16,40,17.091
2014,9,12,18,40,13.585
2014,9,12,20,40,11.58
2014,9,12,22,40,13.585
2014,9,13,0,40,13.585
2014,9,13,2,40,12.582
2014,9,13,4,40,12.582
2014,9,13,6,40,12.582
2014,9,13,8,40,12.081
2014,9,13,10,40,14.587
2014,9,13,12,40,18.593
2014,9,13,14,40,20.095
2014,9,13,16,40,17.592
2014,9,13,18,40,14.086
2014,9,13,20,40,10.577
2014,9,13,22,40,11.58
2014,9,14,0,40,11.078
2014,9,14,2,40,11.078
2014,9,14,4,40,10.076
2014,9,14,6,40,8.571
2014,9,14,8,40,10.076
2014,9,14,10,40,14.587
2014,9,14,12,40,20.095
2014,9,14,14,40,22.597
2014,9,14,16,40,19.094
2014,9,14,18,40,15.589
2014,9,14,20,40,12.582
2014,9,14,22,40,11.58
2014,9,15,0,40,10.577
2014,9,15,2,40,10.076
2014,9,15,4,40,9.574
2014,9,15,6,40,9.574
2014,9,15,8,40,9.574
2014,9,15,10,40,14.587
2014,9,15,12,40,21.096
2014,9,15,14,40,23.097
2014,9,15,16,40,20.596
2014,9,15,18,40,17.592
2014,9,15,20,40,14.587
2014,9,15,22,40,13.083
2014,9,16,0,40,12.582
2014,9,16,2,40,12.081
2014,9,16,4,40,12.582
2014,9,16,6,40,12.081
2014,9,16,8,40,13.083
2014,9,16,10,40,15.589
2014,9,16,12,40,19.595
2014,9,16,14,40,18.093
2014,9,16,16,40,16.59
2014,9,16,18,40,15.088
2014,9,16,20,40,12.081
2014,9,16,22,40,11.078
2014,9,17,0,40,11.078
2014,9,17,2,40,11.58
2014,9,17,4,40,11.58
2014,9,17,6,40,11.078
2014,9,17,8,40,13.083
2014,9,17,10,40,15.589
2014,9,17,12,40,18.093
2014,9,17,14,40,18.093
2014,9,17,16,40,17.091
2014,9,17,18,40,15.088
2014,9,17,20,40,13.083
